time,cold,zygote
1609657210,1,0
1609657211,0,0
1609657212,0,0
1609657213,0,0
1609657214,1,0
1609657215,2,0
1609657216,2,0
1609657217,2,0
1609657218,1,0
1609657219,0,0
1609657220,0,0
1609657221,0,0
1609657222,0,0
1609657223,0,0
1609657224,0,0
1609657225,0,0
1609657226,0,0
1609657227,0,0
1609657228,0,0
1609657229,1,0
1609657230,0,0
1609657231,0,0
1609657232,0,0
1609657233,1,1
1609657234,0,0
1609657235,0,0
1609657236,0,0
1609657237,0,1
1609657238,0,0
1609657239,0,0
1609657240,0,0
1609657241,0,0
1609657242,0,0
1609657243,0,0
1609657244,0,0
1609657245,0,0
1609657246,0,0
1609657247,0,0
1609657248,0,0
1609657249,0,0
1609657250,0,0
1609657251,0,0
1609657252,0,0
1609657253,0,0
1609657254,1,0
1609657255,0,0
1609657256,0,0
1609657257,0,0
1609657258,0,0
1609657259,0,0
1609657260,0,0
1609657261,0,0
1609657262,0,0
1609657263,0,0
1609657264,0,0
1609657265,0,1
1609657266,0,0
1609657267,0,0
1609657268,2,0
1609657269,1,0
1609657270,0,0
1609657271,0,0
1609657272,0,0
1609657273,1,0
1609657274,2,0
1609657275,2,0
1609657276,1,0
1609657277,2,0
1609657278,0,0
1609657279,0,0
1609657280,0,0
1609657281,0,0
1609657282,0,0
1609657283,0,0
1609657284,0,0
1609657285,0,0
1609657286,0,0
1609657287,0,0
1609657288,0,0
1609657289,2,0
1609657290,0,0
1609657291,1,0
1609657292,0,0
1609657293,0,1
1609657294,0,0
1609657295,0,1
1609657296,0,0
1609657297,0,0
1609657298,0,0
1609657299,0,0
1609657300,0,0
1609657301,0,0
1609657302,0,0
1609657303,0,0
1609657304,0,0
1609657305,0,0
1609657306,0,0
1609657307,0,0
1609657308,0,0
1609657309,0,0
1609657310,0,0
1609657311,0,0
1609657312,0,0
1609657313,0,0
1609657314,1,0
1609657315,0,0
1609657316,0,1
1609657317,0,0
1609657318,0,0
1609657319,0,0
1609657320,0,0
1609657321,0,0
1609657322,0,0
1609657323,0,0
1609657324,2,0
1609657325,0,0
1609657326,0,0
1609657327,0,0
1609657328,2,0
1609657329,1,0
1609657330,0,0
1609657331,0,0
1609657332,0,0
1609657333,0,0
1609657334,1,0
1609657335,4,0
1609657336,2,0
1609657337,1,0
1609657338,0,0
1609657339,0,0
1609657340,0,0
1609657341,0,0
1609657342,0,0
1609657343,0,0
1609657344,0,0
1609657345,0,0
1609657346,0,0
1609657347,0,0
1609657348,1,0
1609657349,2,0
1609657350,1,0
1609657351,0,0
1609657352,0,0
1609657353,0,0
1609657354,0,1
1609657355,0,1
1609657356,0,0
1609657357,0,0
1609657358,0,0
1609657359,0,0
1609657360,0,0
1609657361,0,1
1609657362,0,0
1609657363,0,0
1609657364,0,0
1609657365,0,0
1609657366,0,0
1609657367,0,0
1609657368,0,0
1609657369,0,0
1609657370,0,0
1609657371,0,0
1609657372,0,0
1609657373,0,0
1609657374,1,0
1609657375,1,0
1609657376,0,0
1609657377,0,0
1609657378,0,0
1609657379,0,0
1609657380,0,0
1609657381,0,0
1609657382,0,0
1609657383,0,0
1609657384,1,0
1609657385,0,0
1609657386,0,0
1609657387,0,0
1609657388,1,0
1609657389,0,0
1609657390,1,0
1609657391,0,0
1609657392,1,0
1609657393,0,0
1609657394,1,0
1609657395,2,0
1609657396,2,0
1609657397,0,0
1609657398,2,0
1609657399,1,0
1609657400,0,0
1609657401,0,0
1609657402,0,0
1609657403,0,0
1609657404,0,0
1609657405,0,0
1609657406,0,0
1609657407,0,0
1609657408,0,0
1609657409,4,0
1609657410,0,0
1609657411,0,0
1609657412,0,0
1609657413,0,1
1609657414,0,0
1609657415,0,0
1609657416,0,0
1609657417,0,0
1609657418,0,0
1609657419,0,0
1609657420,0,0
1609657421,0,0
1609657422,0,0
1609657423,0,0
1609657424,0,0
1609657425,0,0
1609657426,0,0
1609657427,0,0
1609657428,0,0
1609657429,0,0
1609657430,0,0
1609657431,0,0
1609657432,1,0
1609657433,0,0
1609657434,1,1
1609657435,0,0
1609657436,0,0
1609657437,0,0
1609657438,0,0
1609657439,0,0
1609657440,0,0
1609657441,0,0
1609657442,0,0
1609657443,0,0
1609657444,1,0
1609657445,0,0
1609657446,0,0
1609657447,0,0
1609657448,0,0
1609657449,1,0
1609657450,1,0
1609657451,1,0
1609657452,0,0
1609657453,0,0
1609657454,0,0
1609657455,0,0
1609657456,2,0
1609657457,2,0
1609657458,2,0
1609657459,2,0
1609657460,0,0
1609657461,0,0
1609657462,0,0
1609657463,0,0
1609657464,0,0
1609657465,0,0
1609657466,0,0
1609657467,0,0
1609657468,0,0
1609657469,0,1
1609657470,2,0
1609657471,1,1
1609657472,1,0
1609657473,0,0
1609657474,0,0
1609657475,0,0
1609657476,0,1
1609657477,0,0
1609657478,0,0
1609657479,0,0
1609657480,0,0
1609657481,0,0
1609657482,0,0
1609657483,0,0
1609657484,0,0
1609657485,0,0
1609657486,0,0
1609657487,0,0
1609657488,0,0
1609657489,0,0
1609657490,0,1
1609657491,0,0
1609657492,0,0
1609657493,0,0
1609657494,0,0
1609657495,2,0
1609657496,0,0
1609657497,0,0
1609657498,1,0
1609657499,0,0
1609657500,0,0
1609657501,0,0
1609657502,0,0
1609657503,0,0
1609657504,0,0
1609657505,0,1
1609657506,0,0
1609657507,0,0
1609657508,0,0
1609657509,2,0
1609657510,1,0
1609657511,1,0
1609657512,1,0
1609657513,0,0
1609657514,0,0
1609657515,1,0
1609657516,0,0
1609657517,4,0
1609657518,5,0
1609657519,2,0
1609657520,2,0
1609657521,0,0
1609657522,0,2
1609657523,0,0
1609657524,0,0
1609657525,0,0
1609657526,0,0
1609657527,0,0
1609657528,0,0
1609657529,0,0
1609657530,0,1
