HashFunction,Average,Count
0849c78cb833e6d22519bfafa0a51ac55db065b0ffa10e3ad68eb954b06596eb,378.0,23090
6ca67cd8140622185df0a9594c00f47b9db4fb6fe81c433d0127c7717d23731c,293.0,23025
205363ab5a2c75e27df0900ba880f47dbc4628764b3c9db1bba99bf509c11563,180.0,22962
5230f8205905b26cc0a81ea41f076ae503c887c27215ca2b53953ddb52039dbb,1424.0,22854
2a93bec9d999af5d3a56264ddf0022111acc6aba352df2094ae946c9a36f238e,181.0,22651
5787c449c9c7da07ac8dd31d17c63d806e4ec0c4fa6cecefeb2dad285c171ce3,474.0,22640
efb004d487916161bff47c36d36b7bc062592779f87e8738a54ca7b1c482a117,637.0,22320
41d5874c93e42b71124b2cc6439e6f6fdb5920e67163eebef372593b878741f8,1265.0,22301
9b2a66e6f655ce773044e2f97a466b298dc63d76f0c37af8254a6c84497a7368,723.0,22178
fb7d6cd9dc8d34dd8fdbd19c7572c2a43a9e622c58bc20e6d588b158e49d499e,131.0,22098
f3e39b3dfe05038bbb9f4dc525a0a60a7df7e15524292dfcb1e80c528ca4ddcb,625.0,22030
8adaf71298791cc0346e3924a19a41c1c7a6d43d7819c32708c32a5d722e3fcb,677.0,22018
5befcdf25d0205e1795c6ff12ed29b36a3e3cee83ec03d329f1ea821c87d8f25,867.0,22015
821f4f308390665ec58807674278a52d15583a5540921a6d6aa3910903812fa1,3524.0,21957
b932edd190eaf4433a887bfe01f36621637279cd819353e3a07d65b0a6502e81,706.0,21739
53407ed777e951ed91fba88ddc5069d6ee11adb95cfb9b66125937b7a51493a2,4713.0,21692
ca936bf8aedbf0386da609769c1c18d54bff962a2ed74cecfcb9218ae1c74f3c,1895.0,21645
